restaurant_id,order_hour,day_of_week,actual_prep_time_min,observed_prep_time_min,rush_index,reliability_score,for_bias,rf_pred,baseline_error,rf_error
180,13,2,28.37,29.34,0.49668874172185423,0.30136132183310815,0.9699999999999989,26.78600000000001,0.9699999999999989,1.5839999999999925
196,7,1,17.38,24.86,0.4928571428571428,0.1418911145483133,7.48,17.90089999999999,7.48,0.5208999999999904
146,0,5,18.75,19.78,0.49842271293375395,0.33241287249218043,1.0300000000000011,17.365899999999996,1.0300000000000011,1.3841000000000037
44,5,5,17.58,24.73,0.4938650306748466,0.16527505073944057,7.150000000000002,19.79750000000001,7.150000000000002,2.217500000000012
143,20,6,17.6,17.6,0.4966442953020134,0.8396893149534671,0.0,21.07409999999999,0.0,3.4740999999999893
134,23,2,13.28,13.28,0.49671052631578944,0.716824644549763,0.0,17.1982,0.0,3.9182000000000006
180,5,2,21.28,23.28,0.49668874172185423,0.30136132183310815,2.0,20.17855000000001,2.0,1.1014499999999927
68,5,3,13.61,13.61,0.49258160237388726,0.9924985574148874,0.0,14.475799999999992,0.0,0.865799999999993
151,0,1,19.89,22.1,0.49679487179487186,0.6827671820336304,2.210000000000001,21.516699999999993,2.210000000000001,1.6266999999999925
87,13,3,27.0,31.67,0.4984709480122324,0.1683524540085534,4.670000000000002,24.194699999999997,4.670000000000002,2.8053000000000026
26,20,3,7.7,8.97,0.4939759036144578,0.2699478937786427,1.2700000000000005,9.234899999999996,1.2700000000000005,1.534899999999996
50,5,4,21.55,23.13,0.4939759036144578,0.37135796953747785,1.5799999999999983,24.072800000000008,1.5799999999999983,2.5228000000000073
164,3,1,16.86,16.86,0.49488054607508525,0.6315250476488493,0.0,16.598400000000005,0.0,0.2615999999999943
131,1,0,13.94,15.08,0.4965034965034965,0.26442018771648035,1.1400000000000006,13.728299999999992,1.1400000000000006,0.21170000000000755
35,14,1,26.4,30.89,0.49473684210526325,0.17736289381563594,4.490000000000002,21.719300000000004,4.490000000000002,4.6806999999999945
99,16,1,28.41,31.45,0.495016611295681,0.31790654598478774,3.039999999999999,20.95029999999998,3.039999999999999,7.459700000000019
56,3,1,13.96,15.79,0.49363057324840764,0.3115946694135067,1.8299999999999983,16.4763,1.8299999999999983,2.5162999999999975
20,18,5,17.35,21.65,0.48991354466858794,0.19873883028002748,4.299999999999997,17.135399999999994,4.299999999999997,0.2146000000000079
16,22,6,18.1,22.44,0.4968553459119497,0.17808506180599204,4.34,17.354299999999988,4.34,0.7457000000000136
60,21,5,27.48,28.72,0.4985250737463126,0.24016323877282,1.2399999999999984,26.269950000000016,1.2399999999999984,1.2100499999999847
54,0,5,14.27,18.08,0.495016611295681,0.25178874923938815,3.8099999999999987,14.64599999999999,3.8099999999999987,0.37599999999999056
111,23,2,12.53,15.14,0.4945054945054945,0.2515897471407633,2.610000000000001,13.581,2.610000000000001,1.0510000000000002
138,13,3,18.77,18.77,0.4919093851132686,0.46672231919253243,0.0,26.544899999999988,0.0,7.774899999999988
87,17,0,25.03,28.45,0.4984709480122324,0.1683524540085534,3.419999999999998,21.0577,3.419999999999998,3.9723000000000006
21,2,4,10.62,10.69,0.49342105263157904,0.6339646564704018,0.07000000000000028,13.85,0.07000000000000028,3.2300000000000004
182,15,6,24.2,26.81,0.496875,0.36412638339354325,2.6099999999999994,20.367249999999995,2.6099999999999994,3.8327500000000043
81,15,6,25.08,28.05,0.49291784702549574,0.26726057906458794,2.9700000000000024,21.59690000000001,2.9700000000000024,3.4830999999999896
26,1,3,17.08,20.33,0.4939759036144578,0.2699478937786427,3.25,17.797000000000008,3.25,0.7170000000000094
183,10,2,22.93,26.35,0.4944649446494465,0.38098506950403294,3.4200000000000017,24.378449999999997,3.4200000000000017,1.4484499999999976
82,11,2,14.28,17.13,0.4922600619195047,0.23948645461011422,2.8499999999999996,15.085299999999988,2.8499999999999996,0.8052999999999884
78,4,0,19.2,22.26,0.49621212121212127,0.2153565808001325,3.0600000000000023,16.750800000000005,3.0600000000000023,2.449199999999994
76,3,2,16.07,18.07,0.4938650306748466,0.33854269180805413,2.0,21.020600000000023,2.0,4.950600000000023
19,21,2,16.45,18.31,0.48895899053627767,0.29292870115413905,1.8599999999999994,20.067100000000003,1.8599999999999994,3.617100000000004
192,16,0,21.6,24.86,0.4981549815498156,0.19782762868127354,3.259999999999998,20.742099999999986,3.259999999999998,0.857900000000015
200,4,3,21.33,26.7,0.49491525423728805,0.163850629844622,5.370000000000001,19.275799999999993,5.370000000000001,2.054200000000005
139,5,0,19.08,24.81,0.4931972789115646,0.16984880423408805,5.73,21.500000000000004,5.73,2.4200000000000053
89,12,0,23.8,27.43,0.48852459016393446,0.19190736403851158,3.629999999999999,20.725699999999996,3.629999999999999,3.0743000000000045
120,15,2,14.73,17.55,0.49374999999999997,0.20501321374229198,2.8200000000000003,12.418400000000002,2.8200000000000003,2.3115999999999985
54,5,3,23.85,26.69,0.495016611295681,0.25178874923938815,2.84,21.36660000000001,2.84,2.4833999999999925
89,20,2,23.3,25.58,0.48852459016393446,0.19190736403851158,2.2799999999999976,21.925400000000003,2.2799999999999976,1.3745999999999974
65,20,6,14.55,16.03,0.4886731391585761,0.3376712635778213,1.4800000000000004,21.228399999999993,1.4800000000000004,6.678399999999993
43,17,1,22.51,29.36,0.9805447470817121,0.14669021305685315,6.849999999999998,20.301800000000004,6.849999999999998,2.208199999999998
163,16,4,13.36,13.86,0.4932432432432432,0.30165912518853694,0.5,11.83920000000001,0.5,1.5207999999999888
121,20,0,26.15,26.15,0.49230769230769234,0.8136303218270431,0.0,27.642099999999996,0.0,1.492099999999997
36,23,0,23.12,24.6,0.49363057324840764,0.5070823904115329,1.4800000000000004,24.891699999999997,1.4800000000000004,1.7716999999999956
6,13,5,11.51,15.6,0.4966216216216216,0.19339014496399484,4.09,11.325000000000005,4.09,0.18499999999999517
66,14,6,20.34,26.16,0.48843930635838145,0.16365253483545805,5.82,22.258100000000002,5.82,1.9181000000000026
198,0,0,14.41,19.75,0.49491525423728805,0.1693467523303747,5.34,12.4026,5.34,2.0074000000000005
133,17,2,18.19,18.69,0.496551724137931,0.6016970943687323,0.5,17.144000000000002,0.5,1.0459999999999994
155,17,6,25.16,28.04,0.4965986394557823,0.23107109420131072,2.879999999999999,22.83294999999998,2.879999999999999,2.327050000000021
171,18,4,18.09,23.86,0.4982817869415808,0.13519326491734776,5.77,14.474800000000002,5.77,3.615199999999998
120,11,6,16.73,20.78,0.49374999999999997,0.20501321374229198,4.050000000000001,14.837699999999993,4.050000000000001,1.8923000000000076
169,17,6,15.36,16.95,0.4967741935483871,0.4236669101533966,1.5899999999999999,16.986800000000002,1.5899999999999999,1.626800000000003
35,9,5,15.67,18.58,0.49473684210526325,0.17736289381563594,2.9099999999999984,13.054700000000002,2.9099999999999984,2.6152999999999977
63,13,2,26.37,30.73,0.48916408668730643,0.1864072999503916,4.359999999999999,24.580100000000005,4.359999999999999,1.7898999999999958
74,16,5,15.53,19.15,0.49358974358974356,0.20936360682958524,3.619999999999999,15.0261,3.619999999999999,0.5038999999999998
158,21,4,14.45,14.45,0.4901408450704226,0.8507152309534312,0.0,21.92355,0.0,7.4735499999999995
88,21,1,29.42,31.63,0.49642857142857144,0.28023046539999275,2.2099999999999973,27.569200000000006,2.2099999999999973,1.850799999999996
129,15,0,18.56,19.16,0.4884488448844884,0.4456131194925631,0.6000000000000014,18.6946,0.6000000000000014,0.1346000000000025
8,20,5,17.55,20.37,0.49234693877551017,0.21129755910157372,2.8200000000000003,16.795800000000007,2.8200000000000003,0.7541999999999938
6,4,0,19.95,23.12,0.4966216216216216,0.19339014496399484,3.1700000000000017,18.503,3.1700000000000017,1.4469999999999992
106,1,5,19.04,22.79,0.4892086330935252,0.2338039909324713,3.75,20.134800000000006,3.75,1.0948000000000064
137,15,6,13.51,14.31,0.49824561403508766,0.3944560988291826,0.8000000000000007,18.495400000000004,0.8000000000000007,4.985400000000004
64,12,1,9.28,10.83,0.49629629629629624,0.44668016447849046,1.5500000000000007,19.193849999999994,1.5500000000000007,9.913849999999995
187,4,0,19.12,20.81,0.4905660377358491,0.3483574375740617,1.6899999999999977,18.057300000000005,1.6899999999999977,1.062699999999996
60,4,4,12.17,14.16,0.4985250737463126,0.24016323877282,1.9900000000000002,12.917699999999991,1.9900000000000002,0.7476999999999911
31,18,2,15.06,15.06,0.4947735191637631,0.9654940811015027,0.0,22.597899999999996,0.0,7.537899999999995
169,6,0,17.98,18.55,0.4967741935483871,0.4236669101533966,0.5700000000000003,16.70310000000001,0.5700000000000003,1.2768999999999906
200,18,6,25.05,29.95,0.49491525423728805,0.163850629844622,4.899999999999999,21.604600000000005,4.899999999999999,3.445399999999996
84,5,1,18.37,18.91,0.49473684210526325,0.5039088254685882,0.5399999999999991,20.009800000000006,0.5399999999999991,1.6398000000000046
174,10,4,25.74,26.81,0.4964028776978417,0.30671486471683646,1.0700000000000003,26.4384,1.0700000000000003,0.698400000000003
128,13,3,27.19,34.45,0.49671052631578944,0.13995946359239658,7.260000000000002,24.71659999999999,7.260000000000002,2.4734000000000123
98,3,6,18.42,20.88,0.49132947976878616,0.3113272435471999,2.4599999999999973,19.164999999999996,2.4599999999999973,0.7449999999999939
81,13,6,21.94,25.0,0.49291784702549574,0.26726057906458794,3.0599999999999987,24.79755,3.0599999999999987,2.85755
19,10,5,33.21,36.96,0.48895899053627767,0.29292870115413905,3.75,26.889100000000017,3.75,6.320899999999984
68,5,4,22.8,22.8,0.49258160237388726,0.9924985574148874,0.0,24.063300000000005,0.0,1.2633000000000045
17,6,0,22.54,24.68,0.4931506849315069,0.28451882845188287,2.1400000000000006,22.080600000000008,2.1400000000000006,0.4593999999999916
62,1,1,12.68,19.05,0.4915824915824916,0.17766518338172516,6.370000000000001,12.721200000000001,6.370000000000001,0.04120000000000168
10,4,0,14.0,19.09,0.4907063197026022,0.17633482872183182,5.09,11.943000000000007,5.09,2.0569999999999933
111,16,5,27.33,29.07,0.4945054945054945,0.2515897471407633,1.740000000000002,23.267000000000007,1.740000000000002,4.062999999999992
129,7,6,13.61,13.61,0.4884488448844884,0.4456131194925631,0.0,14.485400000000011,0.0,0.8754000000000115
70,0,3,16.53,20.94,0.4888888888888889,0.17448200654307525,4.41,12.415900000000006,4.41,4.114099999999995
185,14,3,23.1,25.49,0.4927536231884058,0.28580341957753425,2.389999999999997,24.009350000000005,2.389999999999997,0.9093500000000034
118,19,6,26.43,26.43,0.4966442953020134,0.7321461810510641,0.0,23.44854999999999,0.0,2.9814500000000095
133,10,6,23.73,23.73,0.496551724137931,0.6016970943687323,0.0,22.9709,0.0,0.7591000000000001
164,4,5,17.99,18.74,0.49488054607508525,0.6315250476488493,0.75,18.92539999999999,0.75,0.9353999999999907
182,1,5,23.52,23.52,0.496875,0.36412638339354325,0.0,22.436300000000013,0.0,1.0836999999999861
119,10,2,18.06,23.41,0.4874213836477987,0.14550203931992117,5.350000000000001,16.952099999999994,5.350000000000001,1.1079000000000043
87,17,3,21.71,26.59,0.4984709480122324,0.1683524540085534,4.879999999999999,19.19040000000001,4.879999999999999,2.51959999999999
148,12,0,29.92,32.35,0.4964028776978417,0.23234881627697654,2.4299999999999997,26.109949999999994,2.4299999999999997,3.8100500000000075
191,11,2,23.12,26.32,0.49290780141843976,0.2978881855417842,3.1999999999999993,16.926100000000005,3.1999999999999993,6.193899999999996
137,4,0,18.35,18.4,0.49824561403508766,0.3944560988291826,0.04999999999999716,18.107499999999987,0.04999999999999716,0.24250000000001393
119,12,6,26.42,33.27,0.4874213836477987,0.14550203931992117,6.850000000000001,25.61295,6.850000000000001,0.8070500000000003
112,21,1,23.62,27.61,0.5,0.17703318292709255,3.9899999999999984,21.66849999999999,3.9899999999999984,1.95150000000001
45,13,0,35.915,38.37,0.4965753424657534,0.9926593259926593,2.4549999999999983,35.55684999999997,2.4549999999999983,0.3581500000000304
131,18,5,18.54,21.35,0.4965034965034965,0.26442018771648035,2.8100000000000023,19.179499999999997,2.8100000000000023,0.6394999999999982
122,5,3,18.19,22.31,0.49374999999999997,0.27190269619543783,4.119999999999997,21.2392,4.119999999999997,3.049199999999999
20,5,0,19.45,24.91,0.48991354466858794,0.19873883028002748,5.460000000000001,20.05799999999999,5.460000000000001,0.6079999999999899
20,21,0,28.86,33.72,0.48991354466858794,0.19873883028002748,4.859999999999999,26.189750000000004,4.859999999999999,2.670249999999996
116,9,2,16.3,20.61,0.5,0.20543586946641215,4.309999999999999,19.219000000000005,4.309999999999999,2.919000000000004
101,4,0,23.15,28.54,0.49814126394052044,0.17316543374903162,5.390000000000001,21.83670000000001,5.390000000000001,1.3132999999999875
15,5,5,17.28,18.78,0.493006993006993,0.29107138525723436,1.5,15.94729999999999,1.5,1.3327000000000115
125,18,2,26.74,29.03,0.49853372434017595,0.2594503848831996,2.2900000000000027,24.606800000000003,2.2900000000000027,2.133199999999995
52,13,4,19.84,19.85,0.4938271604938272,0.3451274162263393,0.010000000000001563,22.301499999999997,0.010000000000001563,2.4614999999999974
102,10,2,12.46,17.8,0.4962406015037594,0.16506233483846908,5.34,14.675699999999999,5.34,2.2156999999999982
113,20,0,19.27,25.64,0.49211356466876977,0.15341559445546452,6.370000000000001,18.8155,6.370000000000001,0.45449999999999946
93,16,6,11.73,11.73,0.49504950495049505,0.4768222106862011,0.0,17.3614,0.0,5.631399999999999
2,9,0,19.8,22.67,0.4928571428571428,0.47999301828337043,2.870000000000001,21.321300000000004,2.870000000000001,1.5213000000000036
156,15,5,10.43,14.9,0.49230769230769234,0.23446658851113714,4.470000000000001,12.576800000000013,4.470000000000001,2.146800000000013
16,9,2,19.63,24.77,0.4968553459119497,0.17808506180599204,5.140000000000001,18.146299999999997,5.140000000000001,1.4837000000000025
45,9,3,16.65,16.65,0.4965753424657534,0.9926593259926593,0.0,17.339100000000002,0.0,0.6891000000000034
184,8,0,21.45,23.03,0.4956011730205279,0.28994940678718306,1.5800000000000018,22.70970000000001,1.5800000000000018,1.2597000000000094
129,6,3,20.22,22.5,0.4884488448844884,0.4456131194925631,2.280000000000001,22.442200000000007,2.280000000000001,2.222200000000008
51,9,4,16.82,20.92,0.49632352941176466,0.1842981790955951,4.100000000000001,16.503800000000002,4.100000000000001,0.3161999999999985
100,16,3,14.66,16.17,0.490506329113924,0.5215592824063666,1.5100000000000016,20.198400000000003,1.5100000000000016,5.538400000000003
68,23,2,15.32,15.32,0.49258160237388726,0.9924985574148874,0.0,20.789600000000004,0.0,5.469600000000003
39,9,2,25.24,28.01,0.9823529411764705,0.25537555802483575,2.770000000000003,23.048900000000017,2.770000000000003,2.191099999999981
40,19,0,32.06,35.06,0.49025974025974034,0.21518414468572014,3.0,23.732850000000003,3.0,8.32715
4,11,6,10.62,14.85,0.49606299212598426,0.22862685326312876,4.23,12.354199999999992,4.23,1.7341999999999924
145,4,4,24.23,24.86,0.49283667621776506,0.7182374065806076,0.629999999999999,23.418100000000003,0.629999999999999,0.8118999999999978
144,5,3,13.13,17.44,0.48376623376623373,0.19717166361520044,4.3100000000000005,13.283699999999987,4.3100000000000005,0.1536999999999864
194,2,2,26.51,30.01,0.4961832061068702,0.24101665205959688,3.5,24.590950000000003,3.5,1.9190499999999986
50,17,6,16.7,18.27,0.4939759036144578,0.37135796953747785,1.5700000000000003,19.944099999999995,1.5700000000000003,3.244099999999996
138,11,2,8.72,10.45,0.4919093851132686,0.46672231919253243,1.7299999999999986,16.859200000000012,1.7299999999999986,8.139200000000011
29,4,3,31.71,35.05,0.4947735191637631,0.3252176741023253,3.3399999999999963,16.451200000000007,3.3399999999999963,15.258799999999994
125,16,3,19.11,22.76,0.49853372434017595,0.2594503848831996,3.650000000000002,22.0973,3.650000000000002,2.987300000000001
103,13,3,22.33,27.26,0.49632352941176466,0.20305769401374088,4.930000000000003,23.121150000000007,4.930000000000003,0.7911500000000089
81,6,3,13.37,16.31,0.49291784702549574,0.26726057906458794,2.9399999999999995,13.933700000000004,2.9399999999999995,0.5637000000000043
5,0,3,17.12,20.94,0.49374999999999997,0.23675135960472818,3.8200000000000003,18.625600000000006,3.8200000000000003,1.5056000000000047
15,10,3,33.75,35.76,0.493006993006993,0.29107138525723436,2.009999999999998,31.74034999999998,2.009999999999998,2.0096500000000184
163,21,0,12.95,16.24,0.4932432432432432,0.30165912518853694,3.289999999999999,18.1319,3.289999999999999,5.181900000000002
2,0,2,14.3,15.27,0.4928571428571428,0.47999301828337043,0.9699999999999989,15.049800000000019,0.9699999999999989,0.7498000000000182
105,7,6,15.36,21.84,0.49511400651465803,0.11709487612337899,6.48,13.8443,6.48,1.515699999999999
67,5,4,16.73,19.39,0.4945054945054945,0.2151951700639608,2.66,14.5596,2.66,2.1704000000000008
108,6,2,16.94,18.23,0.49019607843137253,0.7071302298173247,1.2899999999999991,17.605300000000007,1.2899999999999991,0.6653000000000056
77,23,2,27.57,29.84,0.4913494809688581,0.2543813243587002,2.2699999999999996,23.65195000000001,2.2699999999999996,3.9180499999999903
62,1,5,12.61,17.95,0.4915824915824916,0.17766518338172516,5.34,12.981400000000002,5.34,0.37140000000000306
197,20,4,34.21,37.4,0.4826498422712934,0.2171077237441048,3.1899999999999977,34.25034999999998,3.1899999999999977,0.040349999999982344
172,3,4,14.97,15.05,0.49683544303797467,0.37764580478148313,0.08000000000000007,16.323099999999993,0.08000000000000007,1.3530999999999924
39,3,5,13.81,16.81,0.49117647058823527,0.25537555802483575,2.9999999999999982,15.11729999999999,2.9999999999999982,1.307299999999989
179,17,4,19.3,26.52,0.49211356466876977,0.13787131251210646,7.219999999999999,19.711,7.219999999999999,0.4109999999999978
16,3,0,9.95,16.81,0.4968553459119497,0.17808506180599204,6.859999999999999,12.458399999999992,6.859999999999999,2.508399999999993
103,13,4,10.57,15.68,0.49632352941176466,0.20305769401374088,5.109999999999999,12.259100000000014,5.109999999999999,1.689100000000014
3,8,3,18.8,20.37,0.49484536082474234,0.6416181828068077,1.5700000000000003,20.12519999999998,1.5700000000000003,1.325199999999981
72,18,3,20.78,25.24,0.4887459807073955,0.18270883836022414,4.459999999999997,20.279699999999995,4.459999999999997,0.5003000000000064
18,15,5,16.33,16.78,0.4942528735632184,0.44874007594062826,0.45000000000000284,21.175500000000007,0.45000000000000284,4.845500000000008
17,8,3,18.64,20.75,0.4931506849315069,0.28451882845188287,2.1099999999999994,18.5179,2.1099999999999994,0.12209999999999965
128,17,4,20.23,25.92,0.49671052631578944,0.13995946359239658,5.690000000000001,18.29289999999998,5.690000000000001,1.9371000000000187
182,14,4,22.06,25.65,0.496875,0.36412638339354325,3.59,25.002549999999996,3.59,2.942549999999997
149,3,6,26.23,29.89,0.49508196721311465,0.36076738932533126,3.66,23.646800000000002,3.66,2.583199999999998
75,2,5,16.5,18.04,0.49511400651465803,0.376528658893512,1.5399999999999991,19.267499999999995,1.5399999999999991,2.7674999999999947
4,21,4,18.44,21.88,0.49606299212598426,0.22862685326312876,3.4399999999999977,25.21314999999999,3.4399999999999977,6.7731499999999905
155,4,0,20.62,24.11,0.4965986394557823,0.23107109420131072,3.4899999999999984,20.6492,3.4899999999999984,0.02919999999999945
125,8,4,14.82,18.41,0.49853372434017595,0.2594503848831996,3.59,17.009400000000017,3.59,2.189400000000017
127,1,5,14.83,19.03,0.49549549549549554,0.12378944625164626,4.200000000000001,12.139799999999994,4.200000000000001,2.690200000000006
119,18,6,24.19,31.52,0.4874213836477987,0.14550203931992117,7.329999999999998,24.412599999999987,7.329999999999998,0.2225999999999857
127,1,4,10.82,18.4,0.49549549549549554,0.12378944625164626,7.579999999999998,9.966299999999993,7.579999999999998,0.853700000000007
131,7,4,16.5,19.99,0.4965034965034965,0.26442018771648035,3.4899999999999984,19.7581,3.4899999999999984,3.258099999999999
181,5,0,13.59,17.17,0.48666666666666664,0.24835062789517443,3.580000000000002,16.223299999999995,3.580000000000002,2.633299999999995
155,23,2,21.45,26.09,0.4965986394557823,0.23107109420131072,4.640000000000001,18.963199999999997,4.640000000000001,2.4868000000000023
84,20,0,20.1,21.37,0.49473684210526325,0.5039088254685882,1.2699999999999996,23.85210000000001,1.2699999999999996,3.7521000000000093
26,17,5,22.95,25.02,0.4939759036144578,0.2699478937786427,2.0700000000000003,18.867100000000004,2.0700000000000003,4.082899999999995
9,3,4,22.84,22.84,0.48805460750853236,0.6967213114754098,0.0,22.628500000000027,0.0,0.2114999999999725
143,23,5,23.48,23.74,0.4966442953020134,0.8396893149534671,0.259999999999998,25.29629999999999,0.259999999999998,1.8162999999999911
159,3,1,9.48,15.06,0.4925925925925925,0.1711050534703292,5.58,11.5802,5.58,2.100199999999999
18,12,1,20.58,21.01,0.4942528735632184,0.44874007594062826,0.43000000000000327,24.538150000000005,0.43000000000000327,3.958150000000007
191,10,2,15.78,18.09,0.49290780141843976,0.2978881855417842,2.3100000000000005,18.7473,2.3100000000000005,2.9673
147,0,5,21.37,22.84,0.48854961832061067,0.40306328093510685,1.4699999999999989,20.64559999999999,1.4699999999999989,0.7244000000000099
80,8,2,19.72,23.47,0.49857549857549854,0.20013193883374963,3.75,20.055800000000005,3.75,0.3358000000000061
173,17,0,10.96,10.96,0.4954128440366972,0.7145108752758222,0.0,22.011999999999997,0.0,11.051999999999996
175,10,5,16.82,17.0,0.49435028248587565,0.223463687150838,0.17999999999999972,13.118899999999998,0.17999999999999972,3.701100000000002
105,12,1,22.77,29.81,0.49511400651465803,0.11709487612337899,7.039999999999999,21.59960000000001,7.039999999999999,1.1703999999999901
65,3,2,16.53,19.05,0.4886731391585761,0.3376712635778213,2.5199999999999996,17.925900000000002,2.5199999999999996,1.395900000000001
51,22,3,13.37,17.28,0.49632352941176466,0.1842981790955951,3.910000000000002,13.670800000000003,3.910000000000002,0.3008000000000042
24,22,2,18.83,19.57,0.4966666666666666,0.5804709385962699,0.740000000000002,17.789100000000015,0.740000000000002,1.0408999999999828
60,8,6,12.01,16.55,0.4985250737463126,0.24016323877282,4.540000000000001,14.62489999999999,4.540000000000001,2.61489999999999
125,11,5,10.55,14.1,0.49853372434017595,0.2594503848831996,3.549999999999999,12.926300000000005,3.549999999999999,2.376300000000004
200,12,2,26.08,32.11,0.49491525423728805,0.163850629844622,6.030000000000001,20.144899999999996,6.030000000000001,5.935100000000002
158,10,0,33.88,33.88,0.4901408450704226,0.8507152309534312,0.0,33.13085000000002,0.0,0.749149999999986
188,16,3,16.42,21.42,0.49508196721311465,0.1588866973482358,5.0,15.855000000000002,5.0,0.5649999999999995
40,22,4,17.11,21.81,0.49025974025974034,0.21518414468572014,4.699999999999999,18.734300000000008,4.699999999999999,1.6243000000000087
177,22,1,30.63,38.35,0.49523809523809526,0.12066306299293052,7.720000000000002,24.56515,7.720000000000002,6.06485
162,20,0,28.98,32.13,0.4969512195121951,0.2691948715429582,3.150000000000002,26.950499999999998,3.150000000000002,2.0295000000000023
193,7,1,19.88,28.31,0.49635036496350365,0.09801559943184177,8.43,18.998000000000005,8.43,0.8819999999999943
33,7,3,19.26,21.24,0.9841269841269842,0.24865226294454432,1.9799999999999969,19.527300000000004,1.9799999999999969,0.2673000000000023
34,12,5,13.36,16.03,0.4954128440366972,0.25966532025389494,2.6700000000000017,13.917899999999992,2.6700000000000017,0.557899999999993
156,15,6,12.2,14.72,0.49230769230769234,0.23446658851113714,2.5200000000000014,12.833700000000004,2.5200000000000014,0.6337000000000046
171,2,0,25.84,32.62,0.4982817869415808,0.13519326491734776,6.779999999999998,17.97500000000001,6.779999999999998,7.864999999999991
135,12,0,23.96,24.96,0.49408284023668647,0.5955750252258017,1.0,26.421099999999964,1.0,2.4610999999999628
139,4,4,11.75,15.96,0.4931972789115646,0.16984880423408805,4.210000000000001,14.292599999999988,4.210000000000001,2.5425999999999878
179,18,5,15.38,23.17,0.49211356466876977,0.13787131251210646,7.790000000000001,14.874499999999996,7.790000000000001,0.505500000000005
